tic,date,gvkeyx,Closing Price,Daily High,Daily Low
I0003,06-12-22,3,3941.26,4001.51,3918.39
I0003,05-12-22,3,3998.84,4052.45,3984.49
I0003,02-12-22,3,4071.7,4080.48,4026.63
I0003,01-12-22,3,4076.57,4100.51,4050.87
I0003,30-11-22,3,4080.11,4080.11,3938.58
I0003,29-11-22,3,3957.63,3976.77,3937.65
I0003,28-11-22,3,3963.94,4012.27,3955.77
I0003,25-11-22,3,4026.12,4034.02,4020.76
I0003,23-11-22,3,4027.26,4033.78,3998.66
I0003,22-11-22,3,4003.58,4005.88,3956.88
I0003,21-11-22,3,3949.94,3962,3933.34
I0003,18-11-22,3,3965.34,3979.89,3935.98
I0003,17-11-22,3,3946.56,3954.33,3906.54
I0003,16-11-22,3,3958.79,3983.09,3954.34
I0003,15-11-22,3,3991.73,4028.84,3953.17
I0003,14-11-22,3,3957.25,4008.97,3956.4
I0003,11-11-22,3,3992.93,4001.48,3944.82
I0003,10-11-22,3,3956.37,3958.33,3859.89
I0003,09-11-22,3,3748.57,3818.2,3744.22
I0003,08-11-22,3,3828.11,3859.4,3786.28
I0003,07-11-22,3,3806.8,3813.95,3764.7
I0003,04-11-22,3,3770.55,3796.34,3708.84
I0003,03-11-22,3,3719.89,3750.59,3698.15
I0003,02-11-22,3,3759.69,3894.44,3758.68
I0003,01-11-22,3,3856.1,3911.79,3843.8
I0003,31-10-22,3,3871.98,3893.73,3863.18
I0003,28-10-22,3,3901.06,3905.42,3808.26
I0003,27-10-22,3,3807.3,3859.95,3803.79
I0003,26-10-22,3,3830.6,3886.15,3824.07
I0003,25-10-22,3,3859.11,3862.85,3799.44
I0003,24-10-22,3,3797.34,3810.74,3741.65
I0003,21-10-22,3,3752.75,3757.89,3647.42
I0003,20-10-22,3,3665.78,3736,3656.44
I0003,19-10-22,3,3695.16,3728.58,3666.51
I0003,18-10-22,3,3719.98,3762.79,3686.53
I0003,17-10-22,3,3677.95,3689.73,3677.95
I0003,14-10-22,3,3583.07,3712,3579.68
I0003,13-10-22,3,3669.91,3685.41,3491.58
I0003,12-10-22,3,3577.03,3608.34,3573.86
I0003,11-10-22,3,3588.84,3640.66,3568.45
I0003,10-10-22,3,3612.39,3652.17,3588.1
I0003,07-10-22,3,3639.66,3706.74,3620.73
I0003,06-10-22,3,3744.52,3797.93,3739.22
I0003,05-10-22,3,3783.28,3806.91,3722.66
I0003,04-10-22,3,3790.93,3791.92,3726.46
I0003,03-10-22,3,3678.43,3698.35,3604.93
I0003,30-09-22,3,3585.62,3671.44,3584.13
I0003,29-09-22,3,3640.47,3687.01,3610.4
I0003,28-09-22,3,3719.04,3736.74,3640.61
I0003,27-09-22,3,3647.29,3717.53,3623.29
I0003,26-09-22,3,3655.04,3715.67,3644.76
I0003,23-09-22,3,3693.23,3727.14,3647.47
I0003,22-09-22,3,3757.99,3790.9,3749.45
I0003,21-09-22,3,3789.93,3907.07,3789.49
I0003,20-09-22,3,3855.93,3876.01,3827.54
I0003,19-09-22,3,3899.89,3900.45,3838.5
I0003,16-09-22,3,3873.33,3880.95,3837.08
I0003,15-09-22,3,3901.35,3959.14,3888.28
I0003,14-09-22,3,3946.01,3961.94,3912.18
I0003,13-09-22,3,3932.69,4037.12,3921.28
I0003,12-09-22,3,4110.41,4119.28,4083.67
I0003,09-09-22,3,4067.36,4076.81,4022.94
I0003,08-09-22,3,4006.18,4010.5,3944.81
I0003,07-09-22,3,3979.87,3987.89,3906.03
I0003,06-09-22,3,3908.19,3942.55,3886.75
I0003,02-09-22,3,3924.26,4018.43,3906.21
I0003,01-09-22,3,3966.85,3970.23,3903.65
I0003,31-08-22,3,3955,4015.37,3954.53
I0003,30-08-22,3,3986.16,4044.98,3965.21
I0003,29-08-22,3,4030.61,4062.99,4017.42
I0003,26-08-22,3,4057.66,4203.04,4057.66
I0003,25-08-22,3,4199.12,4200.54,4147.59
I0003,24-08-22,3,4140.77,4156.56,4119.97
I0003,23-08-22,3,4128.73,4159.77,4124.03
I0003,22-08-22,3,4137.99,4195.08,4129.86
I0003,19-08-22,3,4228.48,4266.31,4218.7
I0003,18-08-22,3,4283.74,4292.53,4261.98
I0003,17-08-22,3,4274.04,4302.18,4253.08
I0003,16-08-22,3,4305.2,4325.28,4277.77
I0003,15-08-22,3,4297.14,4301.79,4256.9
I0003,12-08-22,3,4280.15,4280.47,4219.78
I0003,11-08-22,3,4207.27,4257.91,4201.41
I0003,10-08-22,3,4210.24,4211.03,4177.26
I0003,09-08-22,3,4122.47,4137.3,4112.09
I0003,08-08-22,3,4140.06,4186.62,4128.97
I0003,05-08-22,3,4145.19,4151.58,4107.31
I0003,04-08-22,3,4151.94,4161.29,4135.42
I0003,03-08-22,3,4155.17,4167.66,4107.96
I0003,02-08-22,3,4091.19,4140.47,4079.81
I0003,01-08-22,3,4118.63,4144.95,4096.02
I0003,29-07-22,3,4130.29,4140.15,4079.22
I0003,28-07-22,3,4072.43,4078.95,3992.97
I0003,27-07-22,3,4023.61,4039.56,3951.43
I0003,26-07-22,3,3921.05,3953.22,3910.74
I0003,25-07-22,3,3966.84,3975.3,3943.46
I0003,22-07-22,3,3961.63,4012.44,3938.86
I0003,21-07-22,3,3998.95,3999.29,3927.64
I0003,20-07-22,3,3959.9,3974.13,3922.03
I0003,19-07-22,3,3936.69,3939.81,3860.73
I0003,18-07-22,3,3830.85,3902.44,3818.63
I0003,15-07-22,3,3863.16,3863.62,3817.18
I0003,14-07-22,3,3790.38,3796.41,3721.56
I0003,13-07-22,3,3801.78,3829.44,3759.07
I0003,12-07-22,3,3818.8,3873.41,3802.36
I0003,11-07-22,3,3854.43,3880.94,3847.22
I0003,08-07-22,3,3899.38,3918.5,3869.34
I0003,07-07-22,3,3902.62,3910.63,3858.85
I0003,06-07-22,3,3845.08,3870.91,3809.37
I0003,05-07-22,3,3831.39,3832.19,3742.06
I0003,01-07-22,3,3825.33,3829.82,3752.1
I0003,30-06-22,3,3785.38,3818.99,3738.67
I0003,29-06-22,3,3818.83,3836.5,3799.02
I0003,28-06-22,3,3821.55,3945.86,3820.14
I0003,27-06-22,3,3900.11,3927.72,3889.66
I0003,24-06-22,3,3911.74,3913.65,3821.75
I0003,23-06-22,3,3795.73,3802.58,3743.52
